帖子ID,平台ID,平台名称,媒体类型
WB_202408312341_3278,P_0,微博,微博
WB_202408301758_3279,P_0,微博,微博
WB_202409011634_3280,P_0,微博,微博
JRTT_202409021533_3281,P_3,今日头条,客户端
WB_202409052246_3282,P_0,微博,微博
WB_202409012201_3283,P_0,微博,微博
WB_202408300151_3284,P_0,微博,微博
WB_202408312304_3285,P_0,微博,微博
DY_202409062143_3286,P_2,抖音,视频
WB_202409011758_3287,P_0,微博,微博
WB_202408310804_3288,P_0,微博,微博
JRTT_202409042347_3289,P_3,今日头条,客户端
WB_202409011804_3290,P_0,微博,微博
WB_202409021307_3291,P_0,微博,微博
DY_202409011114_3292,P_2,抖音,视频
WYXW_202409021826_3293,P_5,网易新闻,客户端
JRTT_202408292050_3294,P_3,今日头条,客户端
DY_202409061553_3295,P_2,抖音,视频
WB_202409011722_3296,P_0,微博,微博
DY_202408291812_3297,P_2,抖音,视频
DY_202409020106_3298,P_2,抖音,视频
WB_202409021848_3300,P_0,微博,微博
WB_202408311906_3301,P_0,微博,微博
DY_202409032132_3302,P_2,抖音,视频
WB_202409010122_3303,P_0,微博,微博
WB_202409050243_3304,P_0,微博,微博
WB_202408311132_3305,P_0,微博,微博
DY_202409032333_3306,P_2,抖音,视频
WB_202408311750_3307,P_0,微博,微博
WB_202408291656_3308,P_0,微博,微博
DY_202409011110_3310,P_2,抖音,视频
WB_202409011322_3311,P_0,微博,微博
WYXW_202409032157_3312,P_5,网易新闻,客户端
DY_202409051157_3313,P_2,抖音,视频
WB_202408312003_3314,P_0,微博,微博
WB_202409062351_3315,P_0,微博,微博
DY_202408312031_3316,P_2,抖音,视频
WB_202408291726_3317,P_0,微博,微博
DY_202409011113_3318,P_2,抖音,视频
DY_202409011159_3319,P_2,抖音,视频
DY_202409010643_3320,P_2,抖音,视频
DY_202409020054_3321,P_2,抖音,视频
WB_202409050859_3322,P_0,微博,微博
WYXW_202408281720_3323,P_5,网易新闻,客户端
WB_202409011302_3324,P_0,微博,微博
WB_202409040806_3325,P_0,微博,微博
WB_202408291955_3326,P_0,微博,微博
WB_202408312105_3327,P_0,微博,微博
WB_202408312123_3328,P_0,微博,微博
WB_202408311739_3329,P_0,微博,微博
JRTT_202408292136_3330,P_3,今日头条,客户端
WB_202408311718_3331,P_0,微博,微博
WB_202409041942_3332,P_0,微博,微博
WB_202409062320_3333,P_0,微博,微博
DY_202409041251_3334,P_2,抖音,视频
DY_202409031311_3335,P_2,抖音,视频
DY_202408301109_3336,P_2,抖音,视频
WB_202408151119_3338,P_0,微博,微博
DY_202408141841_3339,P_2,抖音,视频
JRTT_202408150659_3340,P_3,今日头条,客户端
WB_202408151002_3341,P_0,微博,微博
DY_202408141732_3342,P_2,抖音,视频
DY_202408150829_3343,P_2,抖音,视频
WB_202408151109_3345,P_0,微博,微博
DY_202408151842_3346,P_2,抖音,视频
JRTT_202408141824_3348,P_3,今日头条,客户端
JRTT_202408142224_3350,P_3,今日头条,客户端
WB_202408141838_3351,P_0,微博,微博
KS_202408142119_3352,P_4,快手,视频
KS_202408161953_3354,P_4,快手,视频
WB_202408150703_3356,P_0,微博,微博
DY_202408151714_3357,P_2,抖音,视频
